,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
484,Tarata,BO,77.07,clear sky,-17.6167,-66.0167,Hacienda castillo
485,Itarema,BR,87.03,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
489,Sabang,ID,81.1,heavy intensity rain,5.8933,95.3214,Hotel Citra
490,Raga,SS,77.85,scattered clouds,8.4596,25.678,
491,Sinnamary,GF,85.42,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
492,Sorong,ID,79.32,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
494,Kailua,US,75.07,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
495,Kattivakkam,IN,86.09,overcast clouds,13.2167,80.3167,Euronova Freezer
502,Jacmel,HT,84.85,scattered clouds,18.2342,-72.5347,Historic Hotel Florita
504,San Nicolas,PH,76.15,light rain,18.1725,120.5953,NORTHVIEW Hotel
506,Kamina,CD,73.06,broken clouds,-8.7386,24.9906,LEANIF HOTEL RESTAURANT
508,Kaduna,NG,79.41,few clouds,10.5222,7.4383,HAMDALA HOTEL
509,La Romana,DO,88.16,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
512,Lazaro Cardenas,MX,79.29,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
514,Guasdualito,VE,86.74,overcast clouds,7.2424,-70.7324,Hotel Cuibas
515,Puerto Leguizamo,CO,82.58,overcast clouds,-0.1934,-74.7819,la casona de juancho
520,Padang,ID,77.68,overcast clouds,-0.9492,100.3543,Mercure Padang
531,Agadez,NE,78.55,clear sky,19.75,10.25,
532,Grand Gaube,MU,70.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
533,Dabakala,CI,84.34,overcast clouds,8.3667,-4.4333,Mosquée
534,Lujan,AR,75.13,broken clouds,-34.5703,-59.105,Hotel Biarritz
540,Knysna,ZA,74.01,few clouds,-34.0363,23.0471,Protea by Marriott Hotel Knysna Quays
544,Bac Lieu,VN,77.9,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
548,Pontianak,ID,75.18,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
550,Aneho,TG,80.96,few clouds,6.2333,1.6,Hotel La Linette
551,Oranjestad,AW,88.92,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
553,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
555,Aswan,EG,86.13,scattered clouds,24.0934,32.907,Nuba Nile
557,Metro,ID,75.13,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
558,Sao Jose Da Coroa Grande,BR,80.44,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
